,#,Reached number one,Artist(s),Single,Weeks atnumber one
,2010,2010,2010,2010,2010
0,980,"January 2, 2010",Kesha,"""Tik Tok""♪ [4]",9
1,981,"March 6, 2010",The Black Eyed Peas,"""Imma Be""",2
2,982,"March 20, 2010",Taio Cruz featuring Ludacris,"""Break Your Heart""",1
3,983,"March 27, 2010",Rihanna,"""Rude Boy""",5
4,984,"May 1, 2010",B.o.B featuring Bruno Mars,"""Nothin' on You""",2
5,985,"May 15, 2010",Usher featuring will.i.am,"""OMG""",4
6,986,"May 22, 2010",Eminem,"""Not Afraid""",1
7,987,"June 19, 2010",Katy Perry featuring Snoop Dogg,"""California Gurls""",6
8,988,"July 31, 2010",Eminem featuring Rihanna,"""Love the Way You Lie""",7
9,989,"September 18, 2010",Katy Perry,"""Teenage Dream""",2
10,990,"October 2, 2010",Bruno Mars,"""Just the Way You Are""",4
11,991,"October 30, 2010",Far East Movement featuring The Cataracs and Dev,"""Like a G6""",3
12,992,"November 13, 2010",Kesha,"""We R Who We R""",1
13,993,"November 20, 2010",Rihanna featuring Drake,"""What's My Name?""",1
14,994,"December 4, 2010",Rihanna,"""Only Girl (In the World)""",1
15,995,"December 11, 2010",Pink,"""Raise Your Glass""",1
16,996,"December 18, 2010",Katy Perry,"""Firework""",4
17,2011,2011,2011,2011,2011
18,997,"January 8, 2011",Bruno Mars,"""Grenade""",4
19,998,"January 29, 2011",Britney Spears,"""Hold It Against Me""",1
20,999,"February 19, 2011",Wiz Khalifa,"""Black and Yellow""",1
21,1000,"February 26, 2011",Lady Gaga,"""Born This Way""",6
22,1001,"April 9, 2011",Katy Perry featuring Kanye West,"""E.T.""",5
23,1002,"April 30, 2011",Rihanna featuring Britney Spears[27],"""S&M""",1
24,1003,"May 21, 2011",Adele,"""Rolling in the Deep""♪ [29]",7
25,1004,"July 9, 2011","Pitbull featuring Ne-Yo, Afrojack and Nayer","""Give Me Everything""",1
26,1005,"July 16, 2011",LMFAO featuring Lauren Bennett and GoonRock,"""Party Rock Anthem""",6
27,1006,"August 27, 2011",Katy Perry,"""Last Friday Night (T.G.I.F.)""",2
28,1007,"September 10, 2011",Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger""",4
29,1008,"September 17, 2011",Adele,"""Someone Like You""",5
30,1009,"November 12, 2011",Rihanna featuring Calvin Harris,"""We Found Love""",10
31,2012,2012,2012,2012,2012
32,1010,"January 7, 2012",LMFAO,"""Sexy and I Know It""",2
33,1011,"February 4, 2012",Adele,"""Set Fire to the Rain""",2
34,1012,"February 18, 2012",Kelly Clarkson,"""Stronger (What Doesn't Kill You)""",3
35,1013,"March 3, 2012",Katy Perry,"""Part of Me""",1
36,1014,"March 17, 2012",Fun featuring Janelle Monáe,"""We Are Young""",6
37,1015,"April 28, 2012",Gotye featuring Kimbra,"""Somebody That I Used to Know""♪ [42]",8
38,1016,"June 23, 2012",Carly Rae Jepsen,"""Call Me Maybe""",9
39,1017,"August 25, 2012",Flo Rida,"""Whistle""",2
40,1018,"September 1, 2012",Taylor Swift,"""We Are Never Ever Getting Back Together""",3
41,1019,"September 29, 2012",Maroon 5,"""One More Night""",9
42,1020,"December 1, 2012",Rihanna,"""Diamonds""",3
43,1021,"December 22, 2012",Bruno Mars,"""Locked Out of Heaven""",6
44,2013,2013,2013,2013,2013
45,1022,"February 2, 2013",Macklemore & Ryan Lewis featuring Wanz,"""Thrift Shop""♪ [50]",6
46,1023,"March 2, 2013",Baauer,"""Harlem Shake""",5
47,1024,"April 20, 2013",Bruno Mars,"""When I Was Your Man""",1
48,1025,"April 27, 2013",Pink featuring Nate Ruess,"""Just Give Me a Reason""",3
49,1026,"May 18, 2013",Macklemore & Ryan Lewis featuring Ray Dalton,"""Can't Hold Us""",5
50,1027,"June 22, 2013",Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines""",12
51,1028,"September 14, 2013",Katy Perry,"""Roar""",2
52,1029,"September 28, 2013",Miley Cyrus,"""Wrecking Ball""",3
53,1030,"October 12, 2013",Lorde,"""Royals""",9
54,1031,"December 21, 2013",Eminem featuring Rihanna,"""The Monster""",4
55,2014,2014,2014,2014,2014
56,1032,"January 18, 2014",Pitbull featuring Kesha,"""Timber""",3
57,1033,"February 8, 2014",Katy Perry featuring Juicy J,"""Dark Horse""",4
58,1034,"March 8, 2014",Pharrell Williams,"""Happy""♪ [63]",10
59,1035,"May 17, 2014",John Legend,"""All of Me""",3
60,1036,"June 7, 2014",Iggy Azalea featuring Charli XCX,"""Fancy""",7
61,1037,"July 26, 2014",Magic!,"""Rude""",6
62,1038,"September 6, 2014",Taylor Swift,"""Shake It Off""",4
63,1039,"September 20, 2014",Meghan Trainor,"""All About That Bass""",8
64,1040,"November 29, 2014",Taylor Swift,"""Blank Space""",7
65,2015,2015,2015,2015,2015
66,1041,"January 17, 2015",Mark Ronson featuring Bruno Mars,"""Uptown Funk""♪ [71]",14
67,1042,"April 25, 2015",Wiz Khalifa featuring Charlie Puth,"""See You Again""",12
68,1043,"June 6, 2015",Taylor Swift featuring Kendrick Lamar,"""Bad Blood""",1
69,1044,"July 25, 2015",Omi,"""Cheerleader""",6
70,1045,"August 22, 2015",The Weeknd,"""Can't Feel My Face""",3
71,1046,"September 19, 2015",Justin Bieber,"""What Do You Mean?""",1
72,1047,"October 3, 2015",The Weeknd,"""The Hills""",6
73,1048,"November 14, 2015",Adele,"""Hello""",10
74,2016,2016,2016,2016,2016
75,1049,"January 23, 2016",Justin Bieber,"""Sorry""",3
76,1050,"February 13, 2016",Justin Bieber,"""Love Yourself""♪ [81]",2
77,1051,"February 20, 2016",Zayn,"""Pillowtalk""",1
78,1052,"March 5, 2016",Rihanna featuring Drake,"""Work""",9
79,1053,"May 7, 2016",Desiigner,"""Panda""",2
80,1054,"May 21, 2016",Drake featuring WizKid and Kyla,"""One Dance""",10
81,1055,"May 28, 2016",Justin Timberlake,"""Can't Stop the Feeling!""",1
82,1056,"August 6, 2016",Sia featuring Sean Paul,"""Cheap Thrills""",4
83,1057,"September 3, 2016",The Chainsmokers featuring Halsey,"""Closer""",12
84,1058,"November 26, 2016",Rae Sremmurd featuring Gucci Mane,"""Black Beatles""",7
85,2017,2017,2017,2017,2017
86,1059,"January 7, 2017",The Weeknd featuring Daft Punk,"""Starboy""",1
87,1060,"January 21, 2017",Migos featuring Lil Uzi Vert,"""Bad and Boujee""",3
88,1061,"January 28, 2017",Ed Sheeran,"""Shape of You""♪ [93]",12
89,1062,"May 6, 2017",Kendrick Lamar,"""Humble""",1
90,1063,"May 13, 2017",Bruno Mars,"""That's What I Like""",1
91,1064,"May 20, 2017","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","""I'm the One""",1
92,1065,"May 27, 2017",Luis Fonsi and Daddy Yankee featuring Justin Bieber,"""Despacito""",16
93,1066,"September 16, 2017",Taylor Swift,"""Look What You Made Me Do""",3
94,1067,"October 7, 2017",Cardi B,"""Bodak Yellow""",3
95,1068,"October 28, 2017",Post Malone featuring 21 Savage,"""Rockstar""",8
96,1069,"December 23, 2017",Ed Sheeran solo or duet with Beyoncé1,"""Perfect""",6
97,2018,2018,2018,2018,2018
98,1070,"January 27, 2018",Camila Cabello featuring Young Thug,"""Havana""",1
99,1071,"February 3, 2018",Drake,"""God's Plan""♪ [104]",11
100,1072,"April 21, 2018",Drake,"""Nice for What""",8
101,1073,"May 19, 2018",Childish Gambino,"""This Is America""",2
102,1074,"June 16, 2018",Post Malone featuring Ty Dolla Sign,"""Psycho""",1
103,1075,"June 30, 2018",XXXTentacion,"""Sad!""",1
104,1076,"July 7, 2018","Cardi B, Bad Bunny and J Balvin","""I Like It""",1
105,1077,"July 21, 2018",Drake,"""In My Feelings""",10
106,1078,"September 29, 2018",Maroon 5 featuring Cardi B,"""Girls Like You""",7
107,1079,"November 17, 2018",Ariana Grande,"""Thank U, Next""",7
108,1080,"December 8, 2018",Travis Scott,"""Sicko Mode""",1
109,2019,2019,2019,2019,2019
110,1081,"January 12, 2019",Halsey,"""Without Me""",2
111,1082,"January 19, 2019",Post Malone and Swae Lee,"""Sunflower""",1
112,1083,"February 2, 2019",Ariana Grande,"""7 Rings""",8
113,1084,"March 9, 2019",Lady Gaga and Bradley Cooper,"""Shallow""",1
114,1085,"March 16, 2019",Jonas Brothers,"""Sucker""",1
115,1086,"April 13, 2019",Lil Nas X solo or featuring Billy Ray Cyrus2,"""Old Town Road"" ♪ [120]",19
116,1087,"August 24, 2019",Billie Eilish,"""Bad Guy""",1
117,1088,"August 31, 2019",Shawn Mendes and Camila Cabello,"""Señorita""",1
118,1089,"September 7, 2019",Lizzo,"""Truth Hurts""",7
119,1090,"October 19, 2019",Travis Scott,"""Highest in the Room""",1
120,1091,"November 2, 2019",Lewis Capaldi,"""Someone You Loved""",3
121,1092,"November 9, 2019",Selena Gomez,"""Lose You to Love Me""",1
122,1093,"November 30, 2019",Post Malone,"""Circles""",3
123,1094,"December 14, 2019",The Weeknd,"""Heartless""",1
124,1095,"December 21, 2019",Mariah Carey,"""All I Want for Christmas Is You""",33
